date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
1994-04-15,Karnataka,Bangalore Urban,Bengaluru,12.962299,77.576943,oil and fats,Oil (mustard),KG,actual,Retail,INR,42.0,1.3389
1994-04-15,Kerala,Thiruvananthapuram,Tiruvanantapuram,8.506944,76.956944,cereals and tubers,Rice,KG,actual,Retail,INR,8.4,0.2678
1994-04-15,Kerala,Thiruvananthapuram,Tiruvanantapuram,8.506944,76.956944,miscellaneous food,Sugar,KG,actual,Retail,INR,15.0,0.4782
1994-04-15,Madhya Pradesh,Bhopal,Bhopal,23.266667,77.4,cereals and tubers,Wheat,KG,actual,Retail,INR,4.0,0.1275
1994-04-15,Madhya Pradesh,Bhopal,Bhopal,23.266667,77.4,miscellaneous food,Sugar,KG,actual,Retail,INR,14.75,0.4702
1994-04-15,Madhya Pradesh,Bhopal,Bhopal,23.266667,77.4,oil and fats,Oil (mustard),KG,actual,Retail,INR,32.0,1.0201
1994-04-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,cereals and tubers,Rice,KG,actual,Retail,INR,8.0,0.255
1994-04-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,cereals and tubers,Wheat,KG,actual,Retail,INR,8.0,0.255
1994-04-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,miscellaneous food,Sugar,KG,actual,Retail,INR,17.0,0.5419
1994-04-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,oil and fats,Oil (mustard),KG,actual,Retail,INR,38.0,1.2113
1994-04-15,Mizoram,Aizawl,Aizawl,23.72,92.71,cereals and tubers,Rice,KG,actual,Retail,INR,7.0,0.2231
1994-04-15,Mizoram,Aizawl,Aizawl,23.72,92.71,miscellaneous food,Sugar,KG,actual,Retail,INR,16.0,0.51
1994-04-15,Mizoram,Aizawl,Aizawl,23.72,92.71,oil and fats,Oil (mustard),KG,actual,Retail,INR,32.0,1.0201
1994-04-15,Rajasthan,Bikaner,Jaipur,28.883333,74.066667,cereals and tubers,Rice,KG,actual,Retail,INR,9.5,0.3028
1994-04-15,Rajasthan,Bikaner,Jaipur,28.883333,74.066667,cereals and tubers,Wheat,KG,actual,Retail,INR,4.25,0.1355
1994-04-15,Rajasthan,Bikaner,Jaipur,28.883333,74.066667,miscellaneous food,Sugar,KG,actual,Retail,INR,14.25,0.4543
1994-04-15,Rajasthan,Bikaner,Jaipur,28.883333,74.066667,oil and fats,Oil (mustard),KG,actual,Retail,INR,32.0,1.0201
1994-04-15,Tamil Nadu,Chennai,Chennai,13.083333,80.283333,cereals and tubers,Rice,KG,actual,Retail,INR,7.25,0.2311
1994-04-15,Tamil Nadu,Chennai,Chennai,13.083333,80.283333,cereals and tubers,Wheat,KG,actual,Retail,INR,7.75,0.2471
1994-04-15,Tamil Nadu,Chennai,Chennai,13.083333,80.283333,miscellaneous food,Sugar,KG,actual,Retail,INR,14.7,0.4686
1994-04-15,Tamil Nadu,Chennai,Chennai,13.083333,80.283333,oil and fats,Oil (mustard),KG,actual,Retail,INR,36.0,1.1476
1994-04-15,Telangana,Hyderabad,Hyderabad,17.375278,78.474444,cereals and tubers,Rice,KG,actual,Retail,INR,7.0,0.2231
1994-04-15,Telangana,Hyderabad,Hyderabad,17.375278,78.474444,cereals and tubers,Wheat,KG,actual,Retail,INR,6.7,0.2136
1994-04-15,Tripura,West Tripura,Agartala,23.836389,91.275,miscellaneous food,Sugar,KG,actual,Retail,INR,15.0,0.4782
1994-04-15,Tripura,West Tripura,Agartala,23.836389,91.275,oil and fats,Oil (mustard),KG,actual,Retail,INR,38.0,1.2113
1994-04-15,West Bengal,Kolkata,Kolkata,22.569722,88.369722,cereals and tubers,Rice,KG,actual,Retail,INR,6.8,0.2168
1994-04-15,West Bengal,Kolkata,Kolkata,22.569722,88.369722,miscellaneous food,Sugar,KG,actual,Retail,INR,14.5,0.4622
